index,count
5.739792912,5.771441123
5.743003188,5.774551546
5.746203191,5.777652323
5.749392986,5.780743516
5.752572639,5.783825182
5.755742214,5.789960171
5.758901774,5.793013608
5.762051383,5.796057751
5.765191103,5.799092654
5.768320996,5.802118375
5.771441123,5.805134969
5.774551546,5.80814249
5.777652323,5.811140993
5.780743516,5.814130532
5.783825182,5.82008293
5.786897381,5.826000107
5.789960171,5.831882477
5.793013608,5.84932478
5.796057751,5.85220248
5.799092654,5.857933154
5.802118375,5.910796644
5.805134969,5.924255797
5.80814249,5.934894196
5.811140993,5.937536205
5.814130532,5.940171253
5.81711116,5.942799375
5.82008293,5.948034989
5.823045895,5.966146739
5.826000107,5.96870756
5.828945618,5.97126184
5.831882477,5.978885765
5.834810737,5.991464547
5.837730447,5.993961427
5.840641657,5.998936562
5.843544417,6.001414878
5.846438775,6.003887067
5.84932478,6.00635316
5.85220248,6.008813185
5.855071922,6.011267174
5.857933154,6.01615716
5.860786223,6.018593215
5.863631176,6.021023349
5.866468057,6.023447593
5.869296913,6.025865974
5.872117789,6.02827852
5.874930731,6.03068526
5.877735782,6.033086222
5.880532986,6.035481433
5.883322388,6.042632834
5.886104031,6.047372179
5.888877958,6.052089169
5.891644212,6.056784013
5.894402834,6.059123196
5.897153868,6.077642243
5.899897354,6.079933195
5.902633333,6.084499413
5.905361848,6.102558595
5.908082938,6.107022888
5.910796644,6.109247583
5.913503006,6.11368218
5.916202063,6.120297419
5.918893854,6.12249281
5.92157842,6.126869184
5.924255797,7.244941546
5.926926026,7.250635512
5.929589143,7.252053952
5.932245187,7.252762418
5.934894196,7.255591274
5.937536205,7.258412151
5.940171253,7.260522598
5.942799375,7.261225092
5.945420609,7.261927093
5.948034989,7.263329617
5.950642553,7.267525428
5.953243334,7.268920128
5.955837369,7.26961675
5.958424693,7.270312886
5.96100534,7.274479559
5.963579344,7.275864601
5.966146739,7.280697195
5.96870756,7.28276118
5.97126184,7.286876412
5.973809612,7.289610521
5.976350909,7.290974778
5.978885765,7.29301768
5.981414211,7.295056416
5.983936281,7.296413269
5.986452005,7.298445102
5.988961417,7.300472814
5.991464547,7.301147806
5.993961427,7.303170051
5.996452089,7.303843225
5.998936562,7.304515946
6.001414878,7.305188215
6.003887067,7.306531399
6.00635316,7.307202315
6.008813185,7.307872781
6.011267174,7.308542798
6.013715156,7.314552832
6.01615716,7.315883505
6.018593215,7.31986493
6.021023349,7.320526962
6.023447593,7.323170718
6.025865974,7.327780538
6.02827852,7.33432935
6.03068526,7.33628566
6.033086222,7.338888134
6.035481433,7.343426229
6.03787092,7.34601021
6.040254711,7.347943823
6.042632834,7.353081921
6.045005314,7.356279877
6.047372179,7.378383713
6.049733455,7.384610383
6.052089169,8.974491448
6.054439346,8.979920412
6.056784013,8.981178748
6.059123196,8.983188799
6.061456919,8.985320061
6.063785209,8.986321438
6.06610809,8.986571625
6.068425588,8.98682175
6.070737728,8.987196821
6.073044534,8.988196321
6.075346031,8.988570876
6.077642243,8.988945291
6.079933195,8.989194823
6.08221891,8.989319566
6.084499413,8.989444293
6.086774727,8.990316948
6.089044875,8.990815266
6.091309882,8.990939807
6.09356977,8.991562278
6.095824562,8.992308733
6.098074282,8.992557427
6.100318952,8.992681751
6.102558595,8.992806059
6.104793232,8.994296558
6.107022888,8.994420666
6.109247583,8.994668836
6.11146734,8.994916944
6.11368218,8.995412975
6.115892125,8.995660899
6.118097198,8.995784838
6.120297419,8.996156562
6.12249281,8.996280439
6.124683391,8.996404301
6.126869184,8.996528148
6.12905021,8.996775795
6.131226489,8.996899596
6.133398043,8.997147152
6.135564891,8.997270906
6.137727054,8.99751837
6.139884552,8.998136761
6.142037406,8.998260393
6.144185634,8.998631198
6.146329258,8.99875477
6.148468296,8.999866224
6.150602768,8.999989642
6.152732695,9.000606508
6.154858094,9.001099726
6.156978986,9.001839097
6.159095388,9.002454823
6.161207322,9.002824077
6.163314804,9.004176841
6.165417854,9.004545459
6.167516491,9.004668302
6.169610732,9.007734472
6.171700597,9.008101781
6.173786104,9.010547069
